Title,Inventor,Assignee,Application number,Publication number,Priority information,Publication date,Kind,Patent number,Patent office,Filing date,Publication year,Document type,Abstract,Designated states,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Field of search,IPC code,CPC code,Database,Copyright,Data Provider
"MOLECULAR COMPUTING METHODS AND SYSTEMS FOR SOLVING COMPUTATIONAL PROBLEMS","ASPURU-GUZIK, Alan; GUO, Si Yue; WU, Tony Chang-Chi; FRIEDERICH, Pascal Thomas; GOLDSMITH, Randall Howard; CRONIN, Leroy; SHARMA, Abhishek; CAO, Yudong; GIANNESCHI, Nathan C.; FORMAN, Christopher James ","WISCONSIN ALUMNI RESEARCH FOUNDATION; GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO; NORTHWESTERN UNIVERSITY; UNIVERSITY COURT OF THE UNIVERSITY OF GLASGOW; HARVARD COLLEGE","17772169","US20220389414","","12/08/2022","A1 - Patent application (publication)","20220389414","US","10/28/2020","2022","Patent application","Molecular computer techniques for solving a computational problem using an array of reaction sites, for example, droplets, are disclosed. The problem may be represented as a Hamiltonian in terms of problem variables and problem parameters. The reaction sites may have a physicochemical property mapping to discrete site states corresponding to possible values of the problem variables. In a purely molecular approach, the reaction sites have intra-site and inter-site couplings enforced thereon representing the problem parameters, and the array is allowed to evolve, subjected to the enforced couplings, to a final configuration conveying a solution to the problem. In a hybrid classical-molecular approach, an iterative procedure may be performed that involves feeding read-out site states into a digital computer, determining, based on the problem parameters, perturbations to be applied to the states, and allowing the array to evolve under the perturbations to a final configuration conveying a solution to the problem.","","Hamiltonians","Digital computers - Computational chemistry - Couplings - Iterative methods - Computational methods - Drops - Physicochemical properties","Array configurations - Computational problem - Computing methods - Computing system - Molecular approach - Molecular computers - Molecular computing - Physicochemical property - Problem parameters - Reaction sites","301.1.1 Liquid Dynamics - 301.2.2 Electrohydrodynamics - 602.1 Mechanical Drives - 801.3 Physical Chemistry - 1103.4 Digital Computers and Systems - 1201.5 Computational Mathematics - 1201.9 Numerical Methods - 1301.1.4 Quantum Theory; Quantum Mechanics",,"C12N15/10 - G06N10/60 - G06N99/00","G06N99/07 - G06N5/01 - G06N10/60 - C12N15/1089","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"APPARATUS FOR GENERATING A CHEMICAL PRODUCT PASSPORT","SCHWABE, Henning ","BASF","18723309","US20250232250","EP 21216268 12/21/2021 EP 21216269 12/21/2021 EP 21216270 12/21/2021 EP 21216271 12/21/2021 EP 21216286 12/21/2021 EP 21216292 12/21/2021 EP 21216326 12/21/2021 EP 21216327 12/21/2021 EP 21216333 12/21/2021 EP 22166573 04/04/2022 EP 22167945 04/12/2022 EP 22172609 05/10/2022 EP 22172611 05/10/2022 EP 22172615 05/10/2022 EP 22172617 05/10/2022 EP 22172619 05/10/2022 EP 22194793 09/09/2022 EP 22194800 09/09/2022 EP 22194808 09/09/2022 EP 22194815 09/09/2022 EP 22194818 09/09/2022 EP 22201672 10/14/2022 EP 22202183 10/18/2022 EP 22211421 12/05/2022 ","07/17/2025","A1 - Patent application (publication)","20250232250","US","12/19/2022","2025","Patent application","The invention refers to an apparatus for generating a chemical product passport for a chemical product. One or more computing processors of the apparatus 130 are configured to perform the following steps. Product data referring to information related to the product and/or one or more pre-products utilized in the production process of the product is received. Further, a semantic model comprising data related to at least a part of the product data is accessed. The chemical product passport 135 is then generated based on the product data and the semantic model, wherein the chemical product passport comprises a decentralized identifier identifying the product, at least a part of the product data and a relation between at least a part of the product data provided by the chemical product passport and the semantic model.","","Graph Databases","Semantics","Chemical data - Chemical products - Computing processors - Decentralised - Digital representations - Graph database - Graph patterns - Product data - Production process - Semantic modelling","903.2 Information Dissemination",,"G06Q10/0833 - G06Q50/04 - G16C20/80 - G16C20/90","G06Q10/833 - G06Q50/04 - G16C20/80 - G16C20/90","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Neural network force field calculation training routine for molecular dynamics computer simulation","K·甘尼珊; GANESH KARTHIK; K·加德拉布; GADRAB KHALIL; M·科恩布鲁斯; KORNBLUTH MORDECHAI; J·麦罗阿; MAILOA JONATHAN ","罗伯特·博世有限公司; BOSCH ROBERT","202211171168","CN115862748","US 17484448 09/24/2021 US 202117484448 09/24/2021 17/484448 US202117484448 ","03/28/2023","A - Unexamined application for a patent for invention","115862748","CN","09/26/2022","2023","Patent application","用于分子动力学计算机模拟的神经网络力场计算训练例程。一种用于训练神经网络力场（NNFF）的计算方法，该神经网络力场被配置为模拟材料系统内的分子和/或原子运动。该方法包括接收材料系统中分子的分子结构数据的步骤。该方法还包括使用分子结构数据和密度泛函理论（DFT）模拟来优化分子的几何结构，以获得DFT优化几何数据。该方法进一步包括使用分子结构数据和经典力场（FF）模拟来优化分子的几何结构，以获得FF优化几何数据。该方法还包括输出由DFT优化几何数据和FF优化几何数据组成的NNFF训练数据。NNFF训练数据被配置为训练NNFF以用于模拟材料系统内的分子和/或原子运动。The invention discloses a neural network force field calculation training routine for molecular dynamics computer simulation. A computational method for training a neural network force field (NNFF) configured to simulate molecular and/or atomic motion within a material system. The method includes the step of receiving molecular structure data of molecules in the material system. The method further includes optimizing the geometry of the molecule using the molecular structure data and a density functional theory (DFT) simulation to obtain DFT optimized geometry data. The method further includes optimizing the geometry of the molecule using the molecular structure data and a classical force field (FF) simulation to obtain FF optimized geometry data. The method further includes outputting NNFF training data composed of the DFT optimized geometry data and the FF optimized geometry data. The NNFF training data is configured to train the NNFF for simulating molecular and/or atomic motion within the material system.","","Density functional theory","Molecular structure - Molecular dynamics - Molecules - Computation theory - Geometry - Computational chemistry - Computational methods - Neural networks - Nanotechnology","Atomic motion - Density-functional-theory - Force field calculations - Forcefields - Material systems - Molecular dynamics computer simulations - Neural-networks - Optimized geometries - Structure data - Training data","761 Nanotechnology - 801.3 Physical Chemistry - 1101 Artificial Intelligence - 1102.1 Computer Theory, Includes Computational Logic, Automata Theory, Switching Theory, Programming Theory - 1201.5 Computational Mathematics - 1201.14 Geometry and Topology - 1301.1 Classical Physics; Quantum Theory; Relativity - 1301.1.3 Atomic and Molecular Physics",,"G16C10/00 - G06N3/08 - G16C20/70 - G16C60/00","G16C60/00 - G16C20/70 - G16C10/00 - G06N7/01 - G06N3/08 - G06N3/04","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Digital Analysis System","von Gersdorff, Constantin; Flacke, Frank; Kloppstech, Konstantin; Könne, Nils; Grabellus, Martin ","DIGID GMBH, DE","102021107256","DE102021107256","DE 102021107256 03/23/2021 DE202110107256 ","02/22/2024","B4 - Patent (second publication)","102021107256","DE","03/23/2021","2024","Granted patent","Analysesystem (10) zum Analysieren einer Probe, bevorzugt zum Bestimmen von chemischen oder biochemischen Informationen in der Probe, umfassend eine zentrale Auswerteeinheit (12) und wenigstens eine dezentrale Messeinheit (14), die über ein Endgerät (16) mit der Auswerteeinheit (12) kommunikativ verbunden ist, wobei die Messeinheit (14) dazu eingerichtet ist, unterschiedliche, gegeneinander austauschbare Sensormodule (18) aufzunehmen und wobei die Auswerteeinheit (12) und/oder die Messeinheit (14) dazu ausgebildet und eingerichtet sind, das Vorkommen und/oder die Konzentration und/oder die Menge eines Analyten in der Probe auf Grundlage eines mittels eines Sensormoduls (18) in der Probe gemessenen Messwerts zu bestimmen, wobei das Analysesystem (10) ferner einen Satz (32) unterschiedlicher, gegeneinander austauschbarer Sensormodule (18) umfasst, wobei sich die unterschiedlichen Sensormodule (18) im Hinblick auf deren Eignung zum Bestimmen spezifischer chemischer oder biochemischer Informationen eines Analyten in einer Probe unterscheiden, wobei die Messeinheit (14) dazu eingerichtet ist in einem Messmodus betrieben zu werden, in welchem das Sensormodul (18) zum Erheben der Messwerte veranlasst ist, wobei die Messeinheit (14) dazu eingerichtet ist, den Zustand des Sensormoduls (18) zu überwachen und zu bestimmen, ob das Sensormodul (18) mit einer flüssigen Probe in Kontakt steht und in den Messmodus zu wechseln, sobald das Sensormodul (18) in eine Flüssigkeit eingetaucht wird.An analysis system is provided for analyzing a sample and includes a central evaluation unit and at least one decentralized measuring unit with a communication connection via a terminal to the evaluation unit. The measuring unit accommodates different sensor modules that are exchangeable with one another and the evaluation unit and/or the measuring unit determine the incidence and/or the concentration and/or the amount of an analyte in the sample on the basis of a measurement value measured in the sample by a sensor module. Moreover, the analysis system includes a set of different sensor modules exchangeable with one another and that differ with regard to their suitability for determining chemical or biochemical information of an analyte in a sample.","","Indicators (chemical)","Health risks - Biochemistry","Analysis system - Analytes - Biochemical information - Chemical information - Communication connection - Decentralised - Digital analysis - Measured values - Measurement modes - Sensor modules","801.1 Biochemistry - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products",,"G16H10/60 - A61B5/00 - A61B5/145 - G01N33/48 - G01N35/00 - G16H50/80 - G16Y10/60","G16H40/60 - G16H40/67 - G16H10/40 - B01L3/502715 - B01L2300/23 - B01L2300/663","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Method and software for extracting chemical data","Lawson, Alexander Johnston; Roller, Stefan; Grotz, Helmut; Wisniewski, Janusz L.; Kelkheim, Libuse Goebels ","ELSEVIER INFORMATION SYSTEMS GMBH","05252713","EP1615154","US 10836374 04/30/2004 US 83637404 04/30/2004 836374 US20040836374 ","01/11/2006","A2 - Application published without search report","1615154","EP","04/29/2005","2006","Patent application","Preferred embodiments of the present invention comprise methods and software for processing text documents and extracting chemical data therein. Preferred method embodiments comprise: (a) identifying and tagging one or more chemical compounds within a text document; (b) identifying and tagging physical properties related to one or more of those compounds; (c) translating one or more of those compounds into a chemical structure; (d) identifying and tagging one or more chemical reaction descriptions within the text document; and (e) extracting at least some of the tagged information and storing it in a database.","DE - GB - NL - ","Structure (composition)","Chemical reactions - Translation (languages) - Text processing - Information retrieval systems - Computational linguistics - Information retrieval","Chemical data - Connection table - Molecular formulae - Property - Text document","214 Materials Science - 802.2 Chemical Reactions - 903.1 Information Sources and Analysis - 903.3 Information Retrieval and Use - 1106.2 Data Handling and Data Processing",,"G06F19/00 - G06F19/00","G16C20/70","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Multi-part device for documentation","Erfinder gleich Anmelder ","THOMANN, BURKHARD","102021133172","DE102021133172","DE 102021133172 12/15/2021 DE202110133172 ","06/15/2023","A1 - Document laid open (first publication)","102021133172","DE","12/15/2021","2023","Patent application","Die Erfindung betrifft eine Vorrichtung (100) zur Dokumentation, aufweisend Mittel (110) zum Aufnehmen von Sprache und Mittel (120) zum Aufnehmen von Fotos und weiteren physikalischen und/oder chemischen Daten. Erfindungsgemäß ist vorgesehen, dass die Vorrichtung (100) aus mehr als einer Einheit (200, 300) besteht, die voneinander unabhängig sind, und unabhängig voneinander manuell bedienbar sind, wobei eine erste Einheit (200) in Fernverbindung mit einem Zentralrechner (400) steht, und wobei mindestens eine weitere Einheit (300) in Fernverbindung mit dem gleichen Zentralrechner (400) steht, und wobei die erste Einheit (200) und die mindestens eine weitere Einheit (300) zumindest zeitanteilig miteinander in unmittelbarer Kommunikationsverbindung stehen, wobei die erste Einheit (200) der mindestens einen weiteren Einheit (300) Signale übermittelt, wenn diese in unmittelbarer Kommunikationsverbindung miteinander stehen, welche die mindestens eine weitere Einheit (300) dazu veranlasst, selbst erfasste Daten mit einer eindeutigen Kennung oder Adresse, die von der ersten Einheit (200) stammt, selbst an den Zentralrechner (400) zu übermitteln.The invention relates to an apparatus (100) for documentation, comprising means (110) for recording speech and means (120) for taking photographs and other physical and/or chemical data. According to the invention, it is envisaged that the apparatus (100) consists of more than one unit (200, 300) which are independent of each other and can be operated manually independently of each other, wherein a first unit (200) is remotely connected to a central computer (400), and wherein at least one further unit (300) is in remote communication with the same central computer (400), and wherein the first unit (200) and at least one other unit (300) are in direct communication with each other at least pro rata temporis, wherein the first unit (200) transmits signals to at least one other unit (300) if they are in direct communication with each other, which the at least one other unit (300) for this purpose causes self-collected data with a unique identifier or address originating from the first unit (200) to be transmitted to the central computer (400).","","Patents and inventions","Physical addresses - Speech communication - Audio recordings - Chemical equipment - Data acquisition","Biological sensors - Chemical data - Direct communications - Parts devices - Physical sensors - Remote communication - Tablet computer - Unique identifiers - WEB application - Web applications","751.5 Speech - 752.2 Sound Recording - 802.1 Chemical Plants and Equipment - 902.3 Legal Aspects - 1104 Computer Architecture - 1106.2 Data Handling and Data Processing",,"G06Q50/00 - G01N33/00 - G16Z99/00","G16H10/60 - G16H40/63 - G16H40/67 - G06Q10/103","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"SENSOR FOR CONVERSION OF CHEMICAL AND/OR BIOCHEMICAL INFORMATION FROM AN ANALYTE","KÖHLER, Malte; KÖNNE, Nils; VON GERSDORFF, Constantin; KLOPPSTECH, Konstantin ","DIGID","18236709","US20240060973","DE 102022121188 08/22/2022 ","02/22/2024","A1 - Patent application (publication)","20240060973","US","08/22/2023","2024","Patent application","A sensor is provided for conversion of chemical and/or biochemical information from an analyte in a sample to an electrical signal. The sensor includes a test cantilever having a base and a deformable part, with a receptor layer for selective uptake of the analyte applied at least atop the deformable part, with a first and second test transducer arranged atop the test cantilever, and a reference cantilever having a base and a deformable part, with a reference layer for selective non-uptake of the analyte applied at least atop the deformable part, with a first and second test transducer arranged atop the reference cantilever. The transducers output an electrical signal corresponding to the occurrence and/or the concentration and/or the amount of the analyte in the sample.","","Nanocantilevers","Transducers - Surface tension","Analytes - Bending force - Bending stiffness - Biochemical information - Chemical information - Electrical signal - Extension-force - Receptor layers - Reference layer - Shear force","761 Nanotechnology - 1301.1.2 Physical Properties of Gases, Liquids and Solids - 1301.4 Solid State Physics",,"G01N33/543 - G01N27/327 - G01N33/569","G01N33/00 - G01N2291/256 - G01N2291/427 - G01N29/36 - G01N33/54373 - G01N29/22 - G01N2009/06 - G01N27/3275 - G01N33/5438 - G01N33/56983 - G01N2469/20","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"SYSTEMS AND METHODS FOR VALIDATING AND GENERATING CHEMICAL PRODUCT PASSPORTS","MISHRA, Arunav; LAUSCH, Tobias; SCHWABE, Henning; HAARDT, Dennis ","BASF SE","EP25058723","WO2025209984","EP 24168196 04/03/2024 ","10/09/2025","A1 - Published application with search report","2025209984","WO","03/31/2025","2025","Patent application","The invention relates to the field of sustainability, in particular to the field of sustainable industrialization. The disclosure relates to methods, apparatuses, systems, and computer elements for validating an amount of data accessible for generating and/or updating a chemical product passport associated with a chemical product. The disclosure further relates to methods, apparatuses, systems, and computer elements for generating or updating a chemical product passport associated with a chemical product. The disclosure further relates to a chemical product associated with a chemical product passport generated and/or updated as disclosed herein and to a chemical product passport associated with a data completeness metric generated as disclosed herein. The disclosure further relates to a use of the data completeness metric generated as disclosed for generating and/or updating chemical product passports and to a use of the chemical product passport generated and/or updated as disclosed herein to further process a chemical product associated with the chemical product passport.La divulgation concerne le domaine du développement durable, en particulier le domaine de l'industrialisation durable. La divulgation concerne des procédés, des appareils, des systèmes et des éléments informatiques pour valider une quantité de données accessibles pour générer et/ou mettre à jour un passeport de produit chimique associé à un produit chimique. La divulgation concerne en outre des procédés, des appareils, des systèmes et des éléments informatiques pour générer ou mettre à jour un passeport de produit chimique associé à un produit chimique. La divulgation concerne en outre un produit chimique associé à un passeport de produit chimique généré et/ou mis à jour selon la divulgation et un passeport de produit chimique associé à une mesure de complétude de données générée selon la divulgation. La divulgation concerne en outre une utilisation de la mesure de complétude de données générée selon la divulgation pour générer et/ou mettre à jour des passeports de produit chimique et une utilisation du passeport de produit chimique généré et/ou mis à jour selon la divulgation pour traiter en outre un produit chimique associé au passeport de produit chimique.","","Data structures","Sustainable development","Apparatus system - Chemical data - Chemical products - Data completeness - Data set - Data-source - Degree of correlations - Industrialisation - Production chain - Source data",,,"G06Q30/018 - G06Q50/04","","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Digital twin of chemical products","F·布斯蒂略梅迪纳; G·V·乌图图伊; G·贝克乔格鲁-内夫; G·埃卡特; C·E·埃雷拉加西亚; C·霍夫 ","巴斯夫欧洲公司; BASF","202480024644","CN121100349","EP 23167499 04/12/2023 EP23167499.5 ","12/09/2025","A - Unexamined application for a patent for invention","121100349","CN","03/28/2024","2025","Patent application","本披露内容涉及一种用于生成与化学产物相关联的数字孪生的装置和系统及相应的计算机程序元素、一种用于生成与化学产物相关联的数字孪生的计算机实施的方法及相应的计算机程序元素、用于提供与这种数字孪生相关联的化学产物的方法及相应的装置和相应的计算机程序元素、数字孪生的用途、一种与这种数字孪生相关联的化学产物、这种数字孪生、以及一种用于生成与这种数字孪生相关联的数字访问元素的计算机实施的方法及相应的计算机程序元素。This disclosure relates to a device and system for generating a digital twin associated with a chemical product and corresponding computer program elements, a computer implementation method and corresponding computer program elements for generating a digital twin associated with a chemical product, a method for providing a chemical product associated with such a digital twin and the corresponding device and corresponding computer program elements, the purpose of the digital twin, a chemical product associated with such a digital twin, such digital twin, and a method for generating a computer-implemented digital access element associated with such a digital twin and the corresponding computer program elements.","","Digital twin","Digital storage - Distributed computer systems - Digital devices - Computer software","Aspect model - Chemical data - Chemical products - Computer implementations - Computing nodes - Devices and systems - Digital access - Executable instructions - Program elements - Property",,,"G06Q10/06 - G06Q10/08 - G06Q10/30 - H04L9/00 - G06Q50/04","","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"TETRAHYDRO-1H-PYRAZINO[2,1-A]ISOINDOLYLQUINOLINE COMPOUNDS FOR THE TREATMENT OF AUTOIMMUNE DISEASE","DEY, Fabian; SHEN, Hong; XU, Hongtao; YUN, Hongying; ZOU, Ge; ZHU, Wei ","HOFFMANN LA ROCHE","19729220","EP3802539","WO CN18090004 06/05/2018 EP 18193916 09/12/2018 WO CN19086019 05/08/2019 CN 2018090004 06/05/2018 EP 18193916 09/12/2018 CN 2019086019 05/08/2019 EP 2019064323 06/03/2019 PCT/CN2018/090004 18193916 PCT/CN2019/086019 EP2019064323 WO2018CN90004 EP20180193916 WO2019CN86019 WO2019EP64323 ","09/20/2023","B1 - Granted patent","3802539","EP","06/03/2019","2023","Granted patent","The present invention relates to compounds of formula (I), wherein R1 to R6, m and n are I a described herein, and their pharmaceutically acceptable salt, enantiomer or diastereomer thereof, and compositions including the compounds and methods of using the compounds.","AL - AT - BE - BG - CH - CY - CZ - DE - DK - EE - ES - FI - FR - GB - GR - HR - HU - IE - IS - IT - LI - LT - LU - LV - MC - MK - MT - NL - NO - PL - PT - RO - RS - SE - SI - SK - SM - TR - ","Molecules","Molecular modeling - Sulfur compounds - Substitution reactions - Plants (botany) - Chlorine compounds - Biomolecules - Medical applications - Diseases - Additives - Fluorine compounds - Pathology - Proteins","[carbonyl - Autoimmune disease - Diastereomers - Methoxy - Methoxymethyl - Pyrrolyl","102.1 Medicine - 102.1.2 Health Science - 103 Biology - 801.1 Biochemistry - 802.2 Chemical Reactions - 803 Chemical Agents and Basic Industrial Chemicals - 804.1 Organic Compounds - 804.2 Inorganic Compounds - 1301.1.3 Atomic and Molecular Physics",,"C07D487/04 - A61P37/00 - A61P37/02 - C07D413/14 - C07D417/14 - C07D471/04 - C07D471/08 - C07D471/10 - C07D498/04 - C07D498/08 - C07D513/04","C07D413/14 - C07D417/14 - C07D471/04 - C07D471/08 - C07D471/10 - C07D487/04 - C07D498/04 - C07D498/08 - C07D513/04 - A61P37/00 - A61P37/02 - A61K31/4985 - A61K31/5386 - A61K31/551 - C07D491/107 - C07D487/10 - C07D519/00","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Storage of codes in molecularly imprinted polymers","Mosbach, Klaus ","JOHANNES KEPLER UNIVERSITAAT","16096008","US10734072","AT 503932016 04/29/2016 ","08/04/2020","B2 - Patent with a pre-grant publication","10734072","US","04/27/2017","2020","Granted patent","Disclosed is a molecularly imprinted polymer for storing a defined value of a numerical code, more particularly a binary code, in the molecular imprints of said polymer, and a method for the production of said polymer. The molecular imprinting process uses suitable templates comprising a defined sequence of at least two different structural units, each having a different chemical functionality.","","Polymerization","Monomers - Molecular modeling - Binary codes - Plants (botany) - Functional groups - Acrylics","Chemical functionality - Fumarates - Functionals - Imprinting process - Molecular imprint - Molecular imprinting - Molecularly Imprinted Polymer - Numerical code - Structural component - Structural unit","205.1.1 Organic Polymers - 205.2 Polymerization - 804 Chemical Products - 804.1 Organic Compounds - 1106.1 Computer Programming - 1301.1.3 Atomic and Molecular Physics","365/151 ","G11C11/00 - B01J20/26 - C08L101/00 - G01N24/08 - G06K19/06 - G11C13/00","C07K1/04 - G11C13/02 - B01J20/268 - G11C13/16 - C08L101/00 - G01N24/08 - G06K19/6187","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Operating device for catalytic reforming","D·斯塔森卡; STASENKA DZMITRY; T·鲁贝尔; RUBEL TORSTEN ","瑞士RR工程集团股份公司; SWISS RR ENG GROUP","201880042249","CN110914385","EP 17178519 06/28/2017 EP 17178519 06/28/2017 EP 2018067161 06/26/2018 17178519.9 PCT/EP2018/067161 EP20170178519 WO2018EP67161 ","03/24/2020","A - Unexamined application for a patent for invention","110914385","CN","06/26/2018","2020","Patent application","提供了一种用于优化用于催化重整设备的操作的方法。所述设备包括多个反应器，所述反应器包括催化剂，并且操作气体连续流过所述反应器，其中反应器中的操作气体的组成改变，并且其中产物在最后的反应器的出口侧产生。根据所述方法，首先获取设备操作期间存在的特定恒定特征以及初始操作参数。然后对反应器中的化学过程进行计算模拟，其中除了恒定特征和获得的初始操作参数之外，还包括在最后的反应器出口侧产生的产物化学组成的测量结果。随后对具有不同的、变化的操作参数的反应器中的化学过程进行计算模拟，其中除了分子氢的流速之外，作为变化的操作参数，每个反应器入口处的操作气体的不同温度也被单独调节。根据计算的化学组成确定一组优化的操作参数。The invention relates to a method for optimizing the operation of a device for catalytic reforming. The device has a plurality of reactors containing a catalyst, through which working gas flows successively, wherein the composition of the working gas in the reactors changes and a product results on the output side of the last reactor. According to the method, firstly specific constant properties and initial operating parameters of the system that are present during the operation are captured. A computational simulation of chemical processes in the reactors then takes place, wherein, in addition to the constant properties and the captured system operating parameters, results of a measurement of the chemical composition of the product resulting on the output side of the last reactor are incorporated. Then, a computational simulation of the chemical processes in the reactors is performed with different, varied operating parameters, wherein as varied operating parameters, in addition to aflow rate of molecular hydrogen, various temperatures of the working gas at the input of each reactor are also adjusted individually. A set of optimized operating parameters is determined from the calculated chemical composition.","","Catalytic reforming","Gases - Catalysts - Hydrogen - Computational methods - Computational chemistry - Stages","]+ catalyst - Chemical compositions - Chemical process - Computational simulation - Measurements of - Molecular hydrogen - Operating devices - Operating parameters - Property - Working gas","301 Fluids - 801.3 Physical Chemistry - 802.2 Chemical Reactions - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products - 1201.5 Computational Mathematics",,"C10G35/24","C10G35/24 - B01J19/13 - B01J19/245 - B01J2219/04 - B01J2219/63 - B01J2219/72 - B01J2219/162 - B01J2219/243 - C10G2300/1044 - C10G2300/305 - C10G2400/26 - G01N30/02 - G01N2030/25","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Method of producing an immunoligand/payload conjugate","Grawunder, Ulf; Beerli, Roger Renzo ","NBE THERAPEUTICS","15819116","US10864277","EP 13159484 03/15/2013 ","12/15/2020","B2 - Patent with a pre-grant publication","10864277","US","11/21/2017","2020","Granted patent","The present invention relates to a method of producing an immunoligand/payload conjugate, which method encompasses conjugating a payload to an immunoligand by means of a sequence-specific transpeptidase, or a catalytic domain thereof.","","Antigens","Binders - Antibodies - Scaffolds - Biosynthesis - Molecular modeling - Catalysis - Antigen-antibody reactions - Biochemistry","Amino-acids - Antibody-fragment - Binding proteins - Catalytic domains - Cytokines - Growth factor - Mimetics - N-modification - Sortase - Transpeptidase","101.7 Biotechnology - 103.2 Immunology - 801.1 Biochemistry - 802.2 Chemical Reactions - 803 Chemical Agents and Basic Industrial Chemicals - 1301.1.3 Atomic and Molecular Physics",,"A61K39/00 - A61K47/65 - A61K47/68 - C07K1/107 - C07K16/40 - C12P21/00","C07K1/1075 - C12Q2521/537 - A61K47/6889 - A61K47/6851 - A61K47/65 - A61P25/00 - A61P25/28 - A61P31/00 - A61P31/04 - A61P35/00 - A61P37/02 - A61K47/68033 - A61K47/68031 - A61K2039/505 - C07K16/40 - C07K2317/24 - C12P21/00","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"DIGITAL ANALYSIS SYSTEM","VON GERSDORFF, Constantin; KLOPPSTECH, Konstantin; KOENNE, Nils; GRABELLUS, Martin ","DIGID","18133322","US20230264196","DE 102021107256 03/23/2021 ","08/24/2023","A1 - Patent application (publication)","20230264196","US","04/11/2023","2023","Patent application","An analysis system is provided for analyzing a sample and includes a central evaluation unit and at least one decentralized measuring unit with a communication connection via a terminal to the evaluation unit. The measuring unit accommodates different sensor modules that are exchangeable with one another and the evaluation unit and/or the measuring unit determine the incidence and/or the concentration and/or the amount of an analyte in the sample on the basis of a measurement value measured in the sample by a sensor module. Moreover, the analysis system includes a set of different sensor modules exchangeable with one another and that differ with regard to their suitability for determining chemical or biochemical information of an analyte in a sample.","","Indicators (chemical)","Biochemistry","Analysis system - Analytes - Biochemical indicators - Biochemical information - Chemical information - Communication connection - Decentralised - Sensor modules - Sensors data - Viral infections","803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products",,"B01L3/00 - G16H10/40","G16H40/60 - G16H40/67 - G16H10/40 - B01L3/502715 - B01L2300/23 - B01L2300/663","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Extracting chemical data from text documents","LAWSON ALEXANDER JOHNSTON; ROLLER STEFAN; GROTZ HELMUT; WISNIEWSKI JANUSZ L; KELKHEIM LIBUSE GOEBELS ","MDL INFORMATION SYSTEMS","0508849","GB2413664","US 10836374 04/30/2004 US 83637404 04/30/2004 10836374 US20040836374 ","11/02/2005","A - Published patent application","2413664","GB","04/29/2005","2005","Patent application","The invention comprises methods and software for processing text documents and extracting chemical data therein. This is effected by: (a) identifying and tagging one or more chemical compounds within a text document; (b) identifying and tagging physical properties related to one or more of those compounds; (c) translating one or more of those compounds into a chemical structure; (d) identifying and tagging one or more chemical reaction descriptions within the text document; and (e) extracting at least some of the tagged information and storing it in a database.","","Structure (composition)","Physical properties - Chemical compounds - Chemical reactions - C (programming language) - Text processing - Information retrieval systems - Information retrieval","Chemical data - Connection table - Molecular formulae - Property - Text document","214 Materials Science - 802.2 Chemical Reactions - 804.1 Organic Compounds - 804.2 Inorganic Compounds - 903.1 Information Sources and Analysis - 903.3 Information Retrieval and Use - 1106.2 Data Handling and Data Processing - 1301.1.2 Physical Properties of Gases, Liquids and Solids",,"G06F17/30","G16C20/70","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
